episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-1213.0,382,False,96,10,1.0
1,-1290.0,382,False,105,11,0.9994360289916945
2,-1245.0,382,False,88,24,0.9988723825377751
3,-1167.0,382,False,71,27,0.9983090604514667
4,-1274.0,382,False,94,21,0.9977460625461022
5,-1131.0,382,False,94,4,0.9971833886351218
6,-1000.0,382,False,70,15,0.996621038532073
7,-1337.0,382,False,100,22,0.9960590120506104
8,-1051.0,382,False,75,18,0.9954973090044964
9,-1182.0,382,False,83,17,0.9949359292076
10,-1149.0,382,False,79,18,0.9943748724738976
11,-1265.0,382,False,88,23,0.9938141386174725
12,-1125.0,382,False,79,15,0.9932537274525152
13,-1283.0,382,False,104,19,0.9926936387933228
14,-866.0,382,False,58,10,0.9921338724542998
15,-911.0,382,False,62,12,0.991574428249957
16,-1049.0,382,False,85,12,0.9910153059949123
17,-1118.0,382,False,86,14,0.9904565055038898
18,-1178.0,382,False,99,3,0.9898980265917209
19,-1041.0,382,False,89,5,0.9893398690733428
20,-1034.0,382,False,77,13,0.9887820327638001
21,-1085.0,382,False,77,13,0.9882245174782429
22,-1138.0,382,False,90,6,0.9876673230319284
23,-995.0,382,False,69,17,0.9871104492402196
24,-1273.0,382,False,91,22,0.9865538959185862
25,-1139.0,382,False,88,17,0.9859976628826039
26,-1270.0,382,False,91,19,0.9854417499479543
27,-1142.0,382,False,84,19,0.9848861569304254
28,-1143.0,382,False,92,8,0.984330883645911
29,-978.0,382,False,52,22,0.9837759299104112
30,-1125.0,382,False,86,7,0.9832212955400316
31,-1144.0,382,False,78,18,0.9826669803509837
32,-851.0,382,False,42,16,0.9821129841595847
33,-1318.0,382,False,106,13,0.981559306782258
34,-1076.0,382,False,71,15,0.9810059480355319
35,-951.0,382,False,55,17,0.980452907736041
36,-1233.0,382,False,110,8,0.979900185700525
37,-1119.0,382,False,77,15,0.9793477817458288
38,-1132.0,382,False,85,18,0.9787956956889036
39,-1211.0,382,False,91,14,0.9782439273468051
40,-1053.0,382,False,83,2,0.9776924765366944
41,-1040.0,382,False,74,16,0.9771413430758384
42,-1210.0,382,False,88,16,0.9765905267816085
43,-1282.0,382,False,111,15,0.9760400274714816
44,-1192.0,382,False,93,13,0.9754898449630393
45,-1108.0,382,False,72,19,0.9749399790739683
46,-1111.0,382,False,87,6,0.9743904296220607
47,-1400.0,382,False,123,8,0.9738411964252127
48,-1170.0,382,False,79,20,0.9732922793014258
49,-1237.0,382,False,88,20,0.972743678068806
50,-1280.0,382,False,94,19,0.972195392545564
51,-971.0,382,False,64,11,0.9716474225500153
52,-1215.0,382,False,83,22,0.9710997679005798
53,-1311.0,382,False,103,15,0.9705524284157819
54,-1232.0,382,False,90,17,0.9700054039142505
55,-1140.0,382,False,88,15,0.9694586942147188
56,-1293.0,382,False,121,5,0.9689122991360242
57,-1231.0,382,False,96,11,0.9683662184971087
58,-1026.0,382,False,75,14,0.9678204521170182
59,-1187.0,382,False,93,15,0.967274999814903
60,-1080.0,382,False,79,7,0.966729861410017
61,-1103.0,382,False,89,4,0.9661850367217188
62,-997.0,382,False,64,15,0.9656405255694704
63,-1014.0,382,False,72,7,0.9650963277728379
64,-1258.0,382,False,98,12,0.9645524431514911
65,-1046.0,382,False,70,18,0.9640088715252039
66,-1098.0,382,False,85,16,0.9634656127138534
67,-1043.0,382,False,70,19,0.9629226665374211
68,-1073.0,382,False,75,13,0.9623800328159914
69,-1084.0,382,False,82,8,0.9618377113697524
70,-1090.0,382,False,83,9,0.9612957020189961
71,-1059.0,382,False,73,21,0.9607540045841172
72,-1426.0,382,False,116,17,0.9602126188856145
73,-1233.0,382,False,89,18,0.9596715447440896
74,-1134.0,382,False,86,7,0.9591307819802474
75,-884.0,382,False,58,13,0.9585903304148964
76,-1241.0,382,False,92,17,0.9580501898689475
77,-1142.0,382,False,79,18,0.9575103601634155
78,-1137.0,382,False,76,19,0.9569708411194172
79,-1060.0,382,False,79,4,0.9564316325581734
80,-1246.0,382,False,94,16,0.9558927343010073
81,-1258.0,382,False,91,21,0.9553541461693444
82,-1081.0,382,False,82,7,0.9548158679847142
83,-1146.0,382,False,83,14,0.9542778995687474
84,-1064.0,382,False,70,21,0.9537402407431789
85,-1187.0,382,False,96,14,0.9532028913298448
86,-989.0,382,False,59,18,0.9526658511506848
87,-1083.0,382,False,83,8,0.9521291200277405
88,-1224.0,382,False,93,16,0.9515926977831558
89,-1334.0,382,False,108,16,0.9510565842391775
90,-1283.0,382,False,97,17,0.9505207792181544
91,-1181.0,382,False,96,7,0.9499852825425371
92,-571.0,303,True,74,9,0.9494500940348792
93,-1163.0,382,False,77,20,0.9489152135178359
94,-1133.0,382,False,85,16,0.9483806408141646
95,-1164.0,382,False,89,13,0.9478463757467246
96,-1060.0,382,False,67,25,0.9473124181384772
97,-1264.0,382,False,99,14,0.9467787678124857
98,-1263.0,382,False,104,10,0.946245424591915
99,-1192.0,382,False,85,16,0.9457123883000319
100,-1134.0,382,False,82,13,0.9451796587602049
101,-1191.0,382,False,82,20,0.9446472357959041
102,-1052.0,382,False,65,15,0.9441151192307015
103,-1025.0,382,False,61,19,0.94358330888827
104,-1202.0,382,False,107,8,0.9430518045923845
105,-1332.0,382,False,112,11,0.9425206061669211
106,-988.0,382,False,57,16,0.9419897134358574
107,-1142.0,382,False,85,6,0.941459126223272
108,-1210.0,382,False,87,19,0.9409288443533451
109,-1064.0,382,False,76,18,0.9403988676503579
110,-1031.0,382,False,78,11,0.9398691959386926
111,-1197.0,382,False,82,19,0.9393398290428326
112,-1056.0,382,False,72,11,0.9388107667873626
113,-1189.0,382,False,93,17,0.9382820089969679
114,-1003.0,382,False,57,20,0.9377535554964344
115,-1075.0,382,False,75,13,0.9372254061106494
116,-1277.0,382,False,105,12,0.9366975606646009
117,-1133.0,382,False,91,14,0.9361700189833772
118,-1243.0,382,False,82,27,0.9356427808921678
119,-1041.0,382,False,74,16,0.9351158462162623
120,-1128.0,382,False,86,9,0.9345892147810512
121,-1153.0,382,False,92,9,0.9340628864120253
122,-937.0,382,False,71,8,0.933536860934776
123,-976.0,382,False,70,12,0.9330111381749948
124,-964.0,382,False,63,19,0.9324857179584738
125,-1182.0,382,False,85,15,0.931960600111105
126,-979.0,382,False,66,10,0.931435784458881
127,-1343.0,382,False,111,19,0.9309112708278944
128,-1257.0,382,False,117,6,0.9303870590443376
129,-907.0,382,False,50,12,0.9298631489345035
130,-1019.0,382,False,67,13,0.9293395403247845
131,-1131.0,382,False,90,6,0.9288162330416734
132,-1203.0,382,False,90,16,0.9282932269117623
133,-1237.0,382,False,101,8,0.9277705217617435
134,-1113.0,382,False,82,12,0.9272481174184088
135,-1464.0,382,False,122,18,0.9267260137086499
136,-653.0,338,True,75,12,0.9262042104594582
137,-1230.0,382,False,91,15,0.9256827074979239
138,-1045.0,382,False,63,19,0.9251615046512378
139,-903.0,382,False,57,16,0.9246406017466895
140,-1234.0,382,False,102,8,0.9241199986116679
141,-1142.0,382,False,88,17,0.9235996950736616
142,-1219.0,382,False,93,15,0.9230796909602584
143,-1176.0,382,False,86,15,0.922559986099145
144,-1071.0,382,False,68,18,0.9220405803181079
145,-1113.0,382,False,86,8,0.9215214734450319
146,-1254.0,382,False,95,12,0.9210026653079015
147,-1105.0,382,False,83,16,0.9204841557347999
148,-1258.0,382,False,95,18,0.9199659445539092
149,-1080.0,382,False,75,14,0.9194480315935107
150,-1246.0,382,False,101,9,0.9189304166819839
151,-889.0,382,False,63,8,0.9184130996478078
152,-1080.0,382,False,74,15,0.9178960803195598
153,-1010.0,382,False,79,10,0.9173793585259156
154,-1109.0,382,False,87,3,0.9168629340956499
155,-991.0,382,False,69,8,0.9163468068576359
156,-1001.0,382,False,55,19,0.9158309766408452
157,-1179.0,382,False,89,9,0.9153154432743479
158,-1123.0,382,False,89,14,0.9148002065873123
159,-1016.0,382,False,72,6,0.9142852664090052
160,-1149.0,382,False,85,12,0.9137706225687916
161,-1005.0,382,False,67,9,0.9132562748961345
162,-1002.0,382,False,69,15,0.9127422232205954
163,-1025.0,382,False,62,25,0.9122284673718336
164,-1028.0,382,False,84,7,0.9117150071796066
165,-1088.0,382,False,89,2,0.9112018424737697
166,-1096.0,382,False,79,13,0.9106889730842762
167,-1063.0,382,False,60,25,0.9101763988411773
168,-1253.0,382,False,112,2,0.909664119574622
169,-973.0,382,False,69,12,0.9091521351148572
170,-1186.0,382,False,82,19,0.9086404452922268
171,-1147.0,382,False,82,17,0.9081290499371734
172,-1155.0,382,False,87,12,0.9076179488802361
173,-1168.0,382,False,81,17,0.9071071419520524
174,-1227.0,382,False,100,9,0.9065966289833569
175,-993.0,382,False,75,11,0.9060864098049815
176,-1445.0,382,False,134,4,0.9055764842478554
177,-1207.0,382,False,91,14,0.9050668521430055
178,-1088.0,382,False,88,10,0.9045575133215559
179,-1270.0,382,False,94,21,0.9040484676147271
180,-1136.0,382,False,76,17,0.9035397148538378
181,-1305.0,382,False,116,3,0.903031254870303
182,-1101.0,382,False,70,21,0.9025230874956353
183,-1062.0,382,False,74,13,0.9020152125614438
184,-1132.0,382,False,86,11,0.9015076298994346
185,-923.0,382,False,50,18,0.9010003393414107
186,-1048.0,382,False,69,16,0.9004933407192721
187,-1078.0,382,False,76,12,0.8999866338650153
188,-1121.0,382,False,89,6,0.8994802186107336
189,-988.0,382,False,48,24,0.8989740947886166
190,-1207.0,382,False,100,5,0.898468262230951
191,-1219.0,382,False,105,10,0.8979627207701196
192,-1055.0,382,False,71,10,0.897457470238602
193,-1106.0,382,False,67,22,0.8969525104689738
194,-1142.0,382,False,89,8,0.8964478412939072
195,-1240.0,382,False,108,4,0.895943462546171
196,-1100.0,382,False,75,16,0.8954393740586293
197,-1084.0,382,False,71,16,0.8949355756642435
198,-1114.0,382,False,92,10,0.8944320671960704
199,-1154.0,382,False,84,13,0.8939288484872631
200,-978.0,382,False,57,24,0.8934259193710706
201,-870.0,382,False,55,11,0.8929232796808382
202,-1290.0,382,False,93,22,0.8924209292500067
203,-1052.0,382,False,72,18,0.891918867912113
204,-1060.0,382,False,87,9,0.8914170955007894
205,-1134.0,382,False,93,10,0.8909156118497649
206,-1220.0,382,False,98,9,0.8904144167928629
207,-1102.0,382,False,78,17,0.8899135101640034
208,-1057.0,382,False,75,12,0.8894128917972017
209,-1103.0,382,False,88,5,0.8889125615265684
210,-977.0,382,False,72,13,0.8884125191863098
211,-1211.0,382,False,94,11,0.8879127646107277
212,-1274.0,382,False,110,5,0.8874132976342187
213,-956.0,382,False,61,16,0.8869141180912756
214,-1215.0,382,False,75,29,0.8864152258164856
215,-1048.0,382,False,72,19,0.8859166206445317
216,-950.0,382,False,59,12,0.8854183024101915
217,-1121.0,382,False,89,4,0.8849202709483383
218,-1007.0,382,False,72,15,0.8844225260939397
219,-1078.0,382,False,81,8,0.8839250676820589
220,-1216.0,382,False,102,7,0.8834278955478538
221,-1374.0,382,False,120,7,0.8829310095265771
222,-1167.0,382,False,82,23,0.8824344094535764
223,-1296.0,382,False,112,15,0.8819380951642939
224,-1018.0,382,False,80,7,0.8814420664942667
225,-1269.0,382,False,120,3,0.8809463232791264
226,-1008.0,382,False,66,13,0.8804508653545993
227,-1116.0,382,False,95,7,0.8799556925565061
228,-1000.0,382,False,60,18,0.879460804720762
229,-911.0,382,False,63,12,0.8789662016833769
230,-1051.0,382,False,71,13,0.8784718832804549
231,-954.0,382,False,60,13,0.8779778493481941
232,-1109.0,382,False,86,12,0.8774840997228873
233,-1170.0,382,False,78,22,0.8769906342409215
234,-1051.0,382,False,91,5,0.8764974527387773
235,-1039.0,382,False,78,7,0.8760045550530302
236,-882.0,382,False,48,14,0.8755119410203493
237,-1211.0,382,False,91,13,0.8750196104774978
238,-1075.0,382,False,75,12,0.8745275632613325
239,-947.0,382,False,77,4,0.8740357992088047
240,-1112.0,382,False,80,14,0.8735443181569591
241,-1034.0,382,False,79,5,0.8730531199429341
242,-1031.0,382,False,67,19,0.8725622044039625
243,-1062.0,382,False,76,16,0.8720715713773698
