episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-861.0,382,False,40,16,0.5
1,-939.0,382,False,51,15,0.4985286053704413
2,-760.0,310,True,91,14,0.49706172116204067
3,-899.0,382,False,47,14,0.4955993335485285
4,-1118.0,382,False,76,16,0.494141428746018
5,-1004.0,382,False,54,23,0.4926879930128759
6,-1123.0,382,False,83,20,0.49123901264959247
7,-897.0,382,False,48,14,0.48979447399865256
8,-1035.0,382,False,49,28,0.4883543634444068
9,-943.0,382,False,60,9,0.48691866741294326
10,-1101.0,382,False,64,25,0.4854873723719597
11,-207.0,220,True,35,7,0.4840604648306357
12,-961.0,382,False,59,14,0.48263793133950583
13,-267.0,209,True,42,10,0.4812197584903327
14,-979.0,382,False,61,13,0.4798059329159805
15,-816.0,382,False,54,10,0.4783964412902893
16,-928.0,382,False,47,18,0.4769912703279489
17,-805.0,382,False,46,5,0.4755904067843744
18,-148.0,144,True,45,1,0.4741938374555807
19,-635.0,325,True,70,18,0.4728015491780581
20,-53.0,140,True,21,9,0.47141352882864884
21,-1010.0,382,False,82,10,0.4700297633244225
22,-926.0,382,False,38,26,0.4686502396225535
23,-789.0,382,False,33,16,0.46727494472019754
24,-1020.0,382,False,63,14,0.4659038656543695
25,-901.0,382,False,48,20,0.4645369895018209
26,-916.0,382,False,54,19,0.4631743033789184
27,-397.0,241,True,58,8,0.46181579444152226
28,-817.0,382,False,52,12,0.460461449884865
29,-860.0,348,True,107,10,0.4591112569434312
30,-584.0,285,True,72,13,0.45776520289083666
31,-833.0,382,False,39,11,0.4564232750397091
32,-895.0,382,False,42,16,0.4550854607415677
33,-1193.0,382,False,106,9,0.4537517473867047
34,-25.0,130,True,27,2,0.45242212240406615
35,-823.0,382,False,35,16,0.4510965732611334
36,-1005.0,382,False,64,21,0.44977508746380507
37,-865.0,382,False,41,16,0.4484576525562793
38,-989.0,382,False,49,24,0.4471442561209363
39,-803.0,382,False,40,10,0.4458348857782212
40,-1005.0,382,False,73,14,0.4445295291865278
41,-862.0,382,False,47,9,0.4432281740420817
42,-295.0,282,True,33,14,0.4419308080788245
43,-526.0,308,True,59,14,0.44063741906829834
44,-314.0,234,True,41,13,0.4393479948195306
45,-928.0,382,False,46,26,0.43806252317891875
46,-810.0,382,False,36,13,0.43678099203011617
47,-1194.0,382,False,94,20,0.4355033892939177
48,-825.0,382,False,37,23,0.4342297029281458
49,-835.0,382,False,57,7,0.43295992092753705
50,-914.0,382,False,51,15,0.43169403132362916
51,-371.0,246,True,53,8,0.430432022184648
52,-896.0,382,False,47,14,0.42917388161539505
53,-895.0,382,False,54,8,0.4279195977571355
54,-850.0,382,False,47,9,0.4266691587874863
55,-791.0,382,False,45,12,0.4254225529203049
56,-917.0,382,False,71,6,0.424179768405578
57,-964.0,382,False,63,11,0.4229407935293108
58,-855.0,382,False,39,15,0.42170561661341666
59,-778.0,382,False,51,6,0.42047422601560724
60,-517.0,310,True,65,9,0.41924661012928205
61,-319.0,259,True,44,9,0.4180227573834201
62,-1151.0,382,False,77,18,0.41680265624246987
63,-976.0,382,False,59,13,0.4155862952062411
64,-1018.0,382,False,66,20,0.4143736628097963
65,-1018.0,382,False,64,17,0.4131647476233427
66,-762.0,382,False,33,11,0.4119595382521244
67,-167.0,165,True,32,10,0.410758023336315
68,-557.0,319,True,64,13,0.4095601915509108
69,28.0,121,True,20,2,0.4083660316056235
70,-951.0,382,False,58,13,0.40717553224477443
71,-867.0,382,False,44,14,0.40598868224718804
72,-1065.0,382,False,65,22,0.404805470426086
73,-968.0,382,False,73,12,0.40362588562898233
74,-969.0,382,False,80,8,0.40244991673757774
75,-161.0,212,True,27,10,0.40127755266765514
76,-974.0,382,False,48,28,0.40010878236897496
77,-442.0,298,True,61,4,0.39894359482517117
78,-909.0,382,False,46,18,0.39778197905364737
79,-578.0,351,True,68,10,0.39662392410547315
80,-923.0,382,False,52,14,0.39546941906528127
81,-884.0,382,False,45,15,0.3943184530511642
82,-780.0,382,False,36,10,0.3931710152145721
83,-961.0,382,False,58,14,0.3920270947402102
84,-851.0,382,False,45,11,0.39088668084593714
85,-915.0,382,False,62,5,0.389749762782663
86,-67.0,166,True,27,3,0.38861632983424843
87,-962.0,382,False,60,12,0.38748637131740304
88,-1024.0,382,False,60,20,0.3863598765815855
89,-930.0,382,False,57,9,0.3852368350089022
90,-788.0,382,False,43,12,0.3841172360140082
91,-926.0,382,False,54,15,0.3830010690440066
92,-719.0,382,False,28,9,0.38188832357834945
93,-776.0,382,False,33,19,0.38077898912873864
94,-442.0,279,True,54,14,0.3796730552390269
95,-1129.0,382,False,92,12,0.37857051148511917
96,-848.0,382,False,50,8,0.37747134747487476
97,-791.0,382,False,40,8,0.37637555284800883
98,-782.0,382,False,37,9,0.3752831172759951
99,-270.0,232,True,49,2,0.3741940304619685
100,-933.0,382,False,60,5,0.37310828214062786
101,-956.0,382,False,52,18,0.3720258620781394
102,-912.0,382,False,48,15,0.3709467600720404
103,-755.0,312,True,99,9,0.36987096595114244
104,-206.0,209,True,42,3,0.3687984695754361
105,-979.0,382,False,55,19,0.3677292608359953
106,-723.0,382,False,31,10,0.3666633296548817
107,-1022.0,382,False,73,18,0.36560066598505014
108,-1001.0,382,False,78,10,0.36454125981025365
109,-930.0,382,False,49,19,0.3634851011449491
110,-873.0,382,False,47,11,0.36243218003420297
111,-938.0,382,False,61,17,0.36138248655359795
112,-917.0,382,False,56,12,0.36033601080913885
113,-779.0,382,False,45,3,0.3592927429371596
114,-1013.0,382,False,70,17,0.35825267310423053
115,-771.0,382,False,40,7,0.35721579150706506
116,-794.0,382,False,50,8,0.35618208837242776
117,-676.0,382,False,33,7,0.3551515539570423
118,-255.0,215,True,48,3,0.3541241785474992
119,-776.0,382,False,44,13,0.35309995246016485
120,-965.0,382,False,68,12,0.3520788660410895
121,-614.0,319,True,80,7,0.351060909665917
122,-373.0,342,True,35,14,0.3500460737397936
123,-755.0,382,False,24,17,0.34903434869727756
124,-958.0,382,False,65,6,0.3480257250022494
125,-938.0,382,False,63,17,0.3470201931478214
126,-49.0,171,True,22,5,0.3460177436562486
127,-857.0,382,False,40,17,0.3450183670788389
128,-887.0,382,False,43,19,0.34402205399586444
129,-821.0,382,False,54,12,0.34302879501647254
130,-979.0,382,False,68,8,0.3420385807785974
131,-223.0,205,True,40,7,0.3410514019488717
132,-764.0,382,False,40,15,0.3400672492225386
133,-672.0,382,False,27,11,0.3390861133233643
134,-724.0,382,False,44,6,0.3381079850035502
135,-1066.0,382,False,80,18,0.3371328550436461
136,-1007.0,382,False,74,15,0.3361607142524631
137,-679.0,382,False,40,4,0.33519155346698704
138,-882.0,382,False,42,16,0.33422536355229204
139,-51.0,158,True,23,5,0.33326213540145455
140,-813.0,382,False,53,10,0.33230185993546746
141,-726.0,382,False,28,12,0.33134452810315446
142,-848.0,382,False,54,11,0.3303901308810847
143,-774.0,382,False,35,20,0.3294386592734879
144,-266.0,239,True,44,5,0.32849010431216946
145,-731.0,382,False,46,5,0.3275444570564259
146,-584.0,284,True,77,9,0.32660170859296045
147,-751.0,382,False,34,8,0.3256618500357996
148,-902.0,382,False,52,19,0.3247248725262087
149,-531.0,319,True,50,24,0.3237907672326086
150,-779.0,382,False,39,19,0.3228595253504928
151,-328.0,347,True,30,13,0.32193113810234397
152,-623.0,382,False,28,10,0.3210055967375516
153,-868.0,382,False,48,11,0.32008289253232924
154,0.0,117,True,16,10,0.31916301678963227
155,-778.0,382,False,40,9,0.31824596083907636
156,-1169.0,382,False,103,10,0.3173317160368551
157,-343.0,209,True,56,7,0.31642027376565907
158,-653.0,382,False,35,5,0.3155116254345942
159,-950.0,382,False,57,13,0.3146057624791012
160,-801.0,382,False,46,14,0.31370267636087457
161,-796.0,382,False,38,9,0.31280235856778205
162,-357.0,265,True,54,5,0.3119048006137846
163,-717.0,382,False,45,4,0.31100999403885643
164,-296.0,157,True,50,12,0.310117930408905
165,-355.0,194,True,59,7,0.30922860131569174
166,-922.0,382,False,56,21,0.3083419983767528
167,-733.0,382,False,40,12,0.3074581132353199
168,-753.0,382,False,42,12,0.3065769375602417
169,-331.0,267,True,36,16,0.3056984630459052
170,-708.0,382,False,33,12,0.30482268141215746
171,-151.0,158,True,37,6,0.30394958440422754
172,-820.0,382,False,30,21,0.30307916379264876
173,-815.0,382,False,47,16,0.3022114113731811
174,-955.0,382,False,74,11,0.3013463189667338
175,-772.0,382,False,33,18,0.3004838784192885
176,-747.0,382,False,38,6,0.2996240816018219
177,-768.0,382,False,39,12,0.29876692041022984
178,-752.0,382,False,46,6,0.29791238676525017
179,-250.0,196,True,47,4,0.2970604726123872
180,-419.0,354,True,45,10,0.2962111699218353
181,-807.0,382,False,63,1,0.2953644706884039
182,-853.0,382,False,40,16,0.29452036693144096
183,-257.0,222,True,45,4,0.2936788506947588
184,-189.0,262,True,31,7,0.2928399140465587
185,-864.0,382,False,47,10,0.29200354907935583
186,-514.0,325,True,52,21,0.29116974790990524
187,-968.0,382,False,64,17,0.29033850267912725
188,-69.0,137,True,22,11,0.2895098055520335
189,-368.0,333,True,46,7,0.2886836487176529
190,-778.0,382,False,48,11,0.2878600243889583
191,-351.0,329,True,42,9,0.28703892480279297
192,-902.0,382,False,39,22,0.28622034221979714
193,-282.0,294,True,27,16,0.28540426892433574
194,-852.0,382,False,40,17,0.28459069722442487
195,-346.0,345,True,40,7,0.2837796194516598
196,-233.0,288,True,33,6,0.2829710279611427
197,-365.0,340,True,41,8,0.2821649151314103
198,-139.0,274,True,21,7,0.28136127336436223
199,-467.0,347,True,44,16,0.28056009508518936
200,-873.0,382,False,32,26,0.27976137274230256
201,-951.0,382,False,71,10,0.27896509880726134
202,-298.0,308,True,35,9,0.27817126577470264
203,-436.0,355,True,50,9,0.27737986616227084
204,-377.0,355,True,34,16,0.2765908925105464
205,-513.0,355,True,60,10,0.2758043373829762
206,-143.0,264,True,19,8,0.275020193365803
207,-345.0,308,True,35,16,0.27423845306799577
208,-757.0,382,False,52,4,0.27345910912118004
209,-831.0,382,False,34,18,0.27268215417956826
210,-862.0,382,False,45,23,0.27190758091989087
211,-279.0,333,True,30,8,0.27113538204132703
212,-775.0,382,False,43,12,0.2703655502654358
213,-817.0,382,False,46,14,0.2695980783360877
214,-317.0,286,True,43,7,0.26883295901939624
215,-798.0,382,False,50,12,0.26807018510364966
216,-287.0,238,True,43,8,0.2673097493992431
217,-937.0,382,False,53,17,0.2665516447386107
218,61.0,98,True,13,7,0.26579586397615806
219,-702.0,382,False,26,10,0.265042399988195
220,-182.0,130,True,47,4,0.2642912456728683
221,-697.0,382,False,31,14,0.2635423939500949
222,-914.0,382,False,54,21,0.2627958377614948
223,-182.0,139,True,48,3,0.262051570070325
224,-370.0,354,True,41,8,0.26130958386141306
225,-368.0,353,True,38,11,0.26056987214109073
226,-715.0,382,False,38,10,0.25983242793712813
227,-689.0,382,False,31,15,0.2590972442986683
228,80.0,101,True,16,3,0.2583643142961613
229,-1018.0,382,False,85,8,0.2576336310212992
230,-745.0,382,False,50,4,0.2569051875869507
231,-764.0,382,False,35,15,0.2561789771270964
232,-463.0,379,True,44,15,0.2554549927967642
233,-335.0,337,True,30,15,0.2547332277719643
234,-171.0,142,True,41,6,0.2540136752496255
235,-706.0,382,False,29,10,0.2532963284475304
236,-709.0,382,False,38,11,0.25258118060425244
237,-508.0,349,True,54,14,0.2518682249790909
238,-37.0,232,True,13,6,0.2511574548520085
239,-57.0,244,True,13,6,0.25044886352356743
240,-13.0,95,True,22,8,0.2497424443148664
241,-276.0,299,True,32,10,0.2490381905674777
242,-32.0,127,True,26,5,0.24833609564338427
243,-372.0,350,True,39,10,0.24763615292491745
244,-139.0,224,True,29,5,0.24693835581469423
245,-353.0,277,True,46,12,0.24624269773555543
246,-110.0,279,True,18,5,0.2455491721305034
247,-727.0,382,False,30,18,0.2448577724626404
248,-737.0,382,False,36,17,0.24416849221510695
249,-750.0,382,False,39,15,0.24348132489102028
250,-705.0,382,False,33,16,0.2427962640134134
251,-148.0,262,True,23,7,0.24211330312517365
252,-888.0,382,False,65,8,0.2414324357889821
253,-382.0,308,True,43,12,0.24075365558725292
254,-815.0,382,False,49,15,0.24007695612207264
255,-257.0,285,True,28,13,0.23940233101514002
256,-408.0,363,True,36,16,0.23872977390770597
257,-336.0,339,True,36,11,0.23805927846051347
258,-710.0,382,False,28,9,0.23739083835373795
259,-477.0,349,True,52,13,0.23672444728692763
260,-174.0,294,True,15,14,0.23606009897894417
261,-369.0,355,True,40,10,0.23539778716790344
262,-782.0,382,False,55,4,0.23473750561111661
263,-679.0,382,False,33,10,0.2340792480850311
264,-123.0,259,True,14,11,0.23342300838517216
265,-379.0,353,True,44,6,0.23276878032608425
266,-893.0,382,False,46,15,0.23211655774127266
267,-93.0,230,True,19,7,0.2314663344831456
268,-245.0,277,True,32,9,0.23081810442295608
269,-372.0,348,True,37,12,0.23017186145074423
270,-192.0,265,True,30,5,0.22952759947527965
271,-253.0,294,True,31,9,0.22888531242400412
272,-359.0,333,True,46,5,0.22824499424297418
273,-182.0,234,True,29,10,0.2276066388968042
274,-410.0,362,True,39,13,0.2269702403686094
275,-611.0,382,False,29,6,0.2263357926599493
276,-846.0,382,False,46,16,0.22570328979077098
277,-366.0,347,True,42,7,0.22507272579935286
278,-431.0,355,True,58,2,0.22444409474224838
279,150.0,69,True,8,4,0.2238173906942302
280,-651.0,382,False,23,8,0.22319260774823402
281,-412.0,354,True,49,7,0.22256974001530322
282,-215.0,285,True,24,10,0.22194878162453316
283,-233.0,335,True,22,10,0.22132972672301593
284,-202.0,273,True,26,10,0.22071256947578516
285,-314.0,191,True,54,7,0.22009730406576097
286,-168.0,251,True,26,7,0.2194839246936953
287,-363.0,247,True,42,17,0.21887242557811695
288,-261.0,297,True,38,4,0.21826280095527748
289,-127.0,142,True,39,3,0.2176550450790965
290,-878.0,382,False,56,18,0.2170491522211078
291,-328.0,349,True,38,8,0.21644511667040522
292,-275.0,317,True,38,3,0.21584293273358882
293,-155.0,294,True,23,4,0.21524259473471127
294,-266.0,276,True,39,6,0.21464409701522424
295,-730.0,382,False,44,7,0.21404743393392525
296,-303.0,323,True,32,12,0.21345259986690437
297,-675.0,382,False,40,6,0.21285958920749118
298,-445.0,345,True,50,9,0.212268396366202
299,-333.0,347,True,36,7,0.2116790157706872
300,-340.0,295,True,44,8,0.2110914418656787
301,-156.0,240,True,27,7,0.21050566911293747
302,-144.0,129,True,40,5,0.20992169199120148
303,-400.0,338,True,49,5,0.20933950499613366
304,-788.0,283,True,112,5,0.20875910264026987
305,-264.0,343,True,32,5,0.2081804794529673
306,-43.0,165,True,16,9,0.20760362998035298
307,-751.0,382,False,43,12,0.2070285487852721
308,-133.0,265,True,24,5,0.2064552304472371
309,-492.0,367,True,52,12,0.20588366956237625
310,-588.0,357,True,68,11,0.20531386074338304
311,-808.0,382,False,51,11,0.2047457986194651
312,-133.0,262,True,25,4,0.2041794778362938
313,-768.0,382,False,50,10,0.2036148930559537
314,-670.0,382,False,43,3,0.2030520389568922
315,-341.0,213,True,58,5,0.2024909102338694
316,99.0,82,True,13,4,0.20193150159790813
317,-150.0,201,True,30,7,0.20137380777624414
318,-104.0,225,True,22,8,0.20081782351227626
319,-78.0,270,True,13,8,0.20026354356551698
320,-467.0,359,True,54,7,0.19971096271154293
321,-705.0,382,False,27,9,0.19916007574194589
322,-30.0,104,True,21,10,0.1986108774642833
323,-288.0,310,True,37,6,0.19806336270202973
324,-237.0,335,True,26,8,0.1975175262945278
325,-172.0,251,True,28,7,0.1969733630969396
326,-179.0,218,True,37,3,0.19643086798019843
327,-125.0,242,True,23,6,0.19589003583095999
328,-133.0,270,True,23,4,0.19535086155155462
