episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-861.0,382,False,40,16,0.5
1,-939.0,382,False,51,15,0.4985286053704413
2,-760.0,310,True,91,14,0.49706172116204067
3,-899.0,382,False,47,14,0.4955993335485285
4,-1118.0,382,False,76,16,0.494141428746018
5,-1004.0,382,False,54,23,0.4926879930128759
6,-1123.0,382,False,83,20,0.49123901264959247
7,-897.0,382,False,48,14,0.48979447399865256
8,-1035.0,382,False,49,28,0.4883543634444068
9,-929.0,382,False,58,9,0.48691866741294326
10,-1102.0,382,False,64,25,0.4854873723719597
11,-973.0,382,False,50,22,0.4840604648306357
12,-774.0,382,False,41,6,0.48263793133950583
13,-841.0,382,False,53,11,0.4812197584903327
14,-844.0,382,False,43,13,0.4798059329159805
15,-1225.0,382,False,109,10,0.4783964412902893
16,-538.0,297,True,74,5,0.4769912703279489
17,-1107.0,382,False,76,14,0.4755904067843744
18,-199.0,243,True,26,11,0.4741938374555807
19,-453.0,239,True,62,12,0.4728015491780581
20,-1088.0,382,False,82,15,0.47141352882864884
21,-893.0,382,False,67,4,0.4700297633244225
22,-400.0,252,True,47,16,0.4686502396225535
23,-947.0,382,False,56,14,0.46727494472019754
24,-315.0,235,True,46,9,0.4659038656543695
25,-850.0,382,False,35,19,0.4645369895018209
26,-282.0,245,True,30,18,0.4631743033789184
27,-30.0,154,True,21,5,0.46181579444152226
28,-447.0,254,True,67,5,0.460461449884865
29,-181.0,132,True,47,3,0.4591112569434312
30,-1169.0,382,False,82,26,0.45776520289083666
31,-894.0,382,False,52,10,0.4564232750397091
32,-451.0,272,True,67,4,0.4550854607415677
33,-834.0,382,False,36,17,0.4537517473867047
34,-611.0,346,True,73,8,0.45242212240406615
35,-276.0,181,True,38,16,0.4510965732611334
36,-805.0,382,False,41,10,0.44977508746380507
37,-430.0,225,True,56,15,0.4484576525562793
38,-1053.0,382,False,70,14,0.4471442561209363
39,-1006.0,382,False,64,15,0.4458348857782212
40,-893.0,382,False,47,11,0.4445295291865278
41,-921.0,382,False,45,17,0.4432281740420817
42,-340.0,249,True,46,10,0.4419308080788245
43,-1160.0,382,False,78,31,0.44063741906829834
44,-185.0,153,True,30,16,0.4393479948195306
45,-1072.0,382,False,81,17,0.43806252317891875
46,-843.0,382,False,40,17,0.43678099203011617
47,-69.0,142,True,23,9,0.4355033892939177
48,-834.0,382,False,49,14,0.4342297029281458
49,-774.0,382,False,40,7,0.43295992092753705
50,-911.0,382,False,42,21,0.43169403132362916
51,-805.0,382,False,42,9,0.430432022184648
52,-1118.0,382,False,92,12,0.42917388161539505
53,-367.0,251,True,52,8,0.4279195977571355
54,-189.0,175,True,34,11,0.4266691587874863
55,-874.0,382,False,36,21,0.4254225529203049
56,-875.0,382,False,54,16,0.424179768405578
57,-935.0,382,False,72,8,0.4229407935293108
58,-582.0,344,True,69,10,0.42170561661341666
59,-760.0,382,False,33,12,0.42047422601560724
60,-1197.0,382,False,69,33,0.41924661012928205
61,-735.0,382,False,32,8,0.4180227573834201
62,-793.0,382,False,36,12,0.41680265624246987
63,-839.0,382,False,46,7,0.4155862952062411
64,-153.0,178,True,29,11,0.4143736628097963
65,-171.0,168,True,41,3,0.4131647476233427
66,-851.0,382,False,54,11,0.4119595382521244
67,-237.0,198,True,41,8,0.410758023336315
68,-167.0,184,True,31,10,0.4095601915509108
69,-771.0,382,False,38,7,0.4083660316056235
70,-874.0,382,False,43,15,0.40717553224477443
71,-327.0,243,True,50,7,0.40598868224718804
72,-959.0,382,False,52,19,0.404805470426086
73,-342.0,339,True,36,10,0.40362588562898233
74,-139.0,179,True,28,9,0.40244991673757774
75,-1220.0,382,False,79,28,0.40127755266765514
76,-919.0,382,False,52,13,0.40010878236897496
77,-1006.0,382,False,70,16,0.39894359482517117
78,-694.0,382,False,38,6,0.39778197905364737
79,-919.0,382,False,51,15,0.39662392410547315
80,-344.0,218,True,57,4,0.39546941906528127
81,-705.0,382,False,29,6,0.3943184530511642
82,-818.0,382,False,41,12,0.3931710152145721
83,-886.0,382,False,48,14,0.3920270947402102
84,-843.0,382,False,61,7,0.39088668084593714
85,-638.0,309,True,72,17,0.389749762782663
86,-798.0,382,False,37,13,0.38861632983424843
87,-152.0,171,True,36,5,0.38748637131740304
88,-942.0,382,False,58,19,0.3863598765815855
89,-903.0,382,False,57,8,0.3852368350089022
90,-836.0,382,False,42,14,0.3841172360140082
91,-855.0,382,False,45,11,0.3830010690440066
92,30.0,96,True,21,4,0.38188832357834945
93,-119.0,123,True,36,6,0.38077898912873864
94,-518.0,268,True,71,8,0.3796730552390269
95,-958.0,382,False,61,11,0.37857051148511917
96,-752.0,382,False,33,17,0.37747134747487476
97,-808.0,382,False,39,22,0.37637555284800883
98,-807.0,382,False,36,14,0.3752831172759951
99,-1141.0,382,False,90,19,0.3741940304619685
100,-159.0,159,True,38,5,0.37310828214062786
101,-876.0,382,False,38,19,0.3720258620781394
102,-860.0,382,False,50,20,0.3709467600720404
103,-575.0,332,True,65,13,0.36987096595114244
104,-920.0,382,False,44,21,0.3687984695754361
105,-734.0,382,False,23,14,0.3677292608359953
106,-893.0,382,False,67,8,0.3666633296548817
107,-309.0,319,True,34,11,0.36560066598505014
108,-830.0,382,False,43,12,0.36454125981025365
109,-303.0,333,True,30,10,0.3634851011449491
110,82.0,124,True,13,2,0.36243218003420297
111,-856.0,382,False,60,8,0.36138248655359795
112,-1040.0,382,False,75,17,0.36033601080913885
113,-293.0,247,True,38,12,0.3592927429371596
114,-241.0,166,True,47,8,0.35825267310423053
115,-849.0,382,False,48,9,0.35721579150706506
116,-737.0,382,False,36,4,0.35618208837242776
117,-421.0,195,True,72,3,0.3551515539570423
118,-672.0,382,False,40,1,0.3541241785474992
119,-771.0,382,False,45,11,0.35309995246016485
120,-103.0,174,True,29,5,0.3520788660410895
121,-372.0,225,True,48,15,0.351060909665917
122,-48.0,159,True,24,4,0.3500460737397936
123,-23.0,101,True,26,6,0.34903434869727756
124,-471.0,294,True,67,3,0.3480257250022494
125,-243.0,240,True,43,3,0.3470201931478214
126,-316.0,193,True,54,7,0.3460177436562486
127,-930.0,382,False,52,13,0.3450183670788389
128,-777.0,382,False,35,10,0.34402205399586444
129,-343.0,351,True,36,8,0.34302879501647254
130,-802.0,382,False,47,11,0.3420385807785974
131,-849.0,382,False,48,17,0.3410514019488717
132,-938.0,382,False,66,13,0.3400672492225386
133,-854.0,382,False,50,7,0.3390861133233643
134,129.0,84,True,11,2,0.3381079850035502
135,-98.0,138,True,31,6,0.3371328550436461
136,-697.0,382,False,31,4,0.3361607142524631
137,41.0,102,True,13,9,0.33519155346698704
138,-940.0,382,False,54,13,0.33422536355229204
139,-768.0,382,False,35,11,0.33326213540145455
140,-409.0,368,True,43,8,0.33230185993546746
141,-924.0,382,False,51,14,0.33134452810315446
142,-136.0,150,True,39,3,0.3303901308810847
143,-648.0,382,False,33,3,0.3294386592734879
144,-895.0,382,False,60,12,0.32849010431216946
145,-675.0,382,False,30,12,0.3275444570564259
146,-477.0,213,True,74,7,0.32660170859296045
147,-852.0,382,False,49,18,0.3256618500357996
148,-798.0,382,False,34,15,0.3247248725262087
149,-127.0,131,True,38,6,0.3237907672326086
150,-339.0,344,True,27,16,0.3228595253504928
151,-460.0,213,True,70,9,0.32193113810234397
152,-95.0,123,True,36,3,0.3210055967375516
153,-688.0,382,False,32,9,0.32008289253232924
154,-715.0,338,True,79,17,0.31916301678963227
155,-802.0,382,False,41,19,0.31824596083907636
156,-749.0,382,False,41,12,0.3173317160368551
157,52.0,77,True,18,6,0.31642027376565907
158,-777.0,382,False,36,11,0.3155116254345942
159,-787.0,382,False,42,21,0.3146057624791012
160,-659.0,382,False,30,11,0.31370267636087457
161,-164.0,170,True,37,5,0.31280235856778205
162,-423.0,382,True,35,18,0.3119048006137846
163,-822.0,382,False,41,10,0.31100999403885643
164,-842.0,382,False,45,9,0.310117930408905
165,-978.0,382,False,62,20,0.30922860131569174
166,-468.0,230,True,67,11,0.3083419983767528
167,-491.0,356,True,47,15,0.3074581132353199
168,-15.0,117,True,22,6,0.3065769375602417
169,-354.0,351,True,42,6,0.3056984630459052
170,-158.0,134,True,45,2,0.30482268141215746
171,-2.0,138,True,23,2,0.30394958440422754
172,-60.0,124,True,33,2,0.30307916379264876
173,-314.0,300,True,39,8,0.3022114113731811
174,-171.0,146,True,47,1,0.3013463189667338
175,-663.0,382,False,31,7,0.3004838784192885
176,-874.0,338,True,117,4,0.2996240816018219
177,-354.0,295,True,40,13,0.29876692041022984
178,-116.0,138,True,39,3,0.29791238676525017
179,-950.0,382,False,74,8,0.2970604726123872
180,43.0,95,True,20,4,0.2962111699218353
181,-137.0,176,True,35,4,0.2953644706884039
182,-403.0,345,True,42,10,0.29452036693144096
183,-323.0,239,True,42,13,0.2936788506947588
184,-804.0,382,False,40,12,0.2928399140465587
185,-55.0,115,True,32,3,0.29200354907935583
186,-448.0,318,True,43,21,0.29116974790990524
187,-686.0,382,False,25,7,0.29033850267912725
188,-513.0,372,True,57,11,0.2895098055520335
189,-806.0,382,False,44,16,0.2886836487176529
190,-86.0,129,True,34,3,0.2878600243889583
191,-807.0,382,False,42,19,0.28703892480279297
192,-186.0,212,True,31,9,0.28622034221979714
193,-405.0,376,True,41,9,0.28540426892433574
194,-401.0,277,True,60,2,0.28459069722442487
195,-591.0,339,True,56,25,0.2837796194516598
196,-2.0,124,True,21,5,0.2829710279611427
197,-634.0,382,False,19,15,0.2821649151314103
198,64.0,82,True,17,5,0.28136127336436223
199,94.0,77,True,14,5,0.28056009508518936
200,-787.0,382,False,35,12,0.27976137274230256
201,-948.0,382,False,69,12,0.27896509880726134
202,-352.0,333,True,40,11,0.27817126577470264
203,-410.0,297,True,52,8,0.27737986616227084
204,-403.0,231,True,66,4,0.2765908925105464
205,-909.0,382,False,45,19,0.2758043373829762
206,-960.0,382,False,68,6,0.275020193365803
207,-90.0,108,True,39,2,0.27423845306799577
208,-176.0,252,True,25,9,0.27345910912118004
209,-75.0,126,True,31,5,0.27268215417956826
210,3.0,163,True,22,0,0.27190758091989087
211,72.0,87,True,16,5,0.27113538204132703
212,-347.0,329,True,32,15,0.2703655502654358
213,-304.0,215,True,58,0,0.2695980783360877
214,-780.0,382,False,40,5,0.26883295901939624
215,-693.0,382,False,35,9,0.26807018510364966
216,-656.0,382,False,25,6,0.2673097493992431
217,-60.0,147,True,30,3,0.2665516447386107
218,-381.0,279,True,46,13,0.26579586397615806
219,-320.0,185,True,60,3,0.265042399988195
220,-895.0,382,False,50,25,0.2642912456728683
221,-470.0,332,True,53,12,0.2635423939500949
222,-942.0,382,False,73,9,0.2627958377614948
223,-386.0,250,True,59,5,0.262051570070325
224,-263.0,294,True,35,6,0.26130958386141306
225,-402.0,310,True,47,13,0.26056987214109073
226,-292.0,321,True,30,11,0.25983242793712813
227,-103.0,273,True,16,6,0.2590972442986683
228,-415.0,343,True,48,9,0.2583643142961613
229,81.0,73,True,18,4,0.2576336310212992
230,-309.0,170,True,59,5,0.2569051875869507
231,-145.0,124,True,41,5,0.2561789771270964
232,-247.0,254,True,35,9,0.2554549927967642
233,-133.0,108,True,43,4,0.2547332277719643
234,-367.0,346,True,47,3,0.2540136752496255
235,-40.0,168,True,17,9,0.2532963284475304
236,-800.0,382,False,40,9,0.25258118060425244
237,-256.0,279,True,32,10,0.2518682249790909
238,-835.0,382,False,46,10,0.2511574548520085
239,-304.0,317,True,34,11,0.25044886352356743
240,-273.0,335,True,24,13,0.2497424443148664
241,-203.0,305,True,20,10,0.2490381905674777
242,-762.0,382,False,49,9,0.24833609564338427
243,-535.0,368,True,59,12,0.24763615292491745
244,-346.0,349,True,46,2,0.24693835581469423
245,-696.0,382,False,38,7,0.24624269773555543
246,-381.0,319,True,44,9,0.2455491721305034
247,-441.0,355,True,46,11,0.2448577724626404
248,-286.0,229,True,46,6,0.24416849221510695
249,-410.0,372,True,51,5,0.24348132489102028
250,-884.0,382,False,67,7,0.2427962640134134
251,-357.0,332,True,39,10,0.24211330312517365
252,-207.0,166,True,45,5,0.2414324357889821
253,-261.0,160,True,55,3,0.24075365558725292
254,-422.0,267,True,60,7,0.24007695612207264
255,-33.0,129,True,24,6,0.23940233101514002
256,-129.0,162,True,37,3,0.23872977390770597
257,-78.0,207,True,16,10,0.23805927846051347
258,-992.0,382,False,81,7,0.23739083835373795
259,-50.0,128,True,29,5,0.23672444728692763
260,-277.0,217,True,40,13,0.23606009897894417
261,-189.0,279,True,28,5,0.23539778716790344
262,-782.0,382,False,54,6,0.23473750561111661
263,-130.0,131,True,22,18,0.2340792480850311
264,-193.0,147,True,48,3,0.23342300838517216
265,-819.0,382,False,61,4,0.23276878032608425
266,-15.0,156,True,21,4,0.23211655774127266
267,-807.0,382,False,46,15,0.2314663344831456
268,-35.0,103,True,26,7,0.23081810442295608
269,-158.0,232,True,23,11,0.23017186145074423
270,-750.0,382,False,36,16,0.22952759947527965
271,-726.0,382,False,46,5,0.22888531242400412
272,-801.0,382,False,57,7,0.22824499424297418
273,-98.0,150,True,33,4,0.2276066388968042
274,-306.0,168,True,63,1,0.2269702403686094
275,-322.0,241,True,34,20,0.2263357926599493
276,-800.0,382,False,39,20,0.22570328979077098
277,-154.0,268,True,25,4,0.22507272579935286
278,-158.0,222,True,27,8,0.22444409474224838
279,27.0,131,True,16,6,0.2238173906942302
280,-456.0,357,True,50,11,0.22319260774823402
281,-102.0,233,True,20,7,0.22256974001530322
282,-212.0,126,True,53,3,0.22194878162453316
283,14.0,120,True,23,2,0.22132972672301593
284,-108.0,116,True,35,7,0.22071256947578516
285,150.0,66,True,11,2,0.22009730406576097
286,-236.0,221,True,40,6,0.2194839246936953
287,-145.0,123,True,38,8,0.21887242557811695
288,-862.0,382,False,66,7,0.21826280095527748
289,-373.0,376,True,41,5,0.2176550450790965
290,-344.0,301,True,42,10,0.2170491522211078
291,-281.0,339,True,34,5,0.21644511667040522
292,89.0,94,True,19,0,0.21584293273358882
293,-370.0,351,True,40,10,0.21524259473471127
294,-285.0,290,True,35,9,0.21464409701522424
295,-150.0,168,True,27,12,0.21404743393392525
296,13.0,84,True,25,5,0.21345259986690437
297,-470.0,367,True,48,13,0.21285958920749118
298,-93.0,203,True,26,3,0.212268396366202
299,-101.0,273,True,18,4,0.2116790157706872
300,-350.0,239,True,58,2,0.2110914418656787
301,-770.0,382,False,54,5,0.21050566911293747
302,-171.0,122,True,47,3,0.20992169199120148
303,-71.0,104,True,37,2,0.20933950499613366
304,-294.0,308,True,35,8,0.20875910264026987
305,-502.0,374,True,53,12,0.2081804794529673
306,-759.0,382,False,30,15,0.20760362998035298
307,-305.0,358,True,31,9,0.2070285487852721
308,-77.0,126,True,29,7,0.2064552304472371
309,-204.0,172,True,45,4,0.20588366956237625
310,-128.0,134,True,41,2,0.20531386074338304
311,74.0,86,True,17,4,0.2047457986194651
312,-217.0,285,True,32,4,0.2041794778362938
313,-235.0,262,True,35,7,0.2036148930559537
314,-618.0,382,False,28,7,0.2030520389568922
315,-391.0,333,True,46,8,0.2024909102338694
316,-575.0,358,True,65,12,0.20193150159790813
317,-770.0,382,False,50,8,0.20137380777624414
318,-758.0,382,False,32,13,0.20081782351227626
319,-194.0,207,True,38,4,0.20026354356551698
320,-354.0,209,True,62,3,0.19971096271154293
321,-363.0,241,True,58,3,0.19916007574194589
322,116.0,77,True,14,2,0.1986108774642833
323,-819.0,382,False,58,6,0.19806336270202973
324,-701.0,382,False,41,5,0.1975175262945278
325,-163.0,166,True,43,2,0.1969733630969396
326,-340.0,152,True,69,2,0.19643086798019843
327,-802.0,299,True,108,6,0.19589003583095999
328,-164.0,239,True,28,6,0.19535086155155462
329,115.0,77,True,18,0,0.19481334005993908
