episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-1693.0,382,False,173,9,0.5
1,-1867.0,382,False,195,3,0.4985286053704413
2,-1743.0,382,False,177,10,0.49706172116204067
3,-1567.0,382,False,155,10,0.4955993335485285
4,-1607.0,382,False,148,19,0.494141428746018
5,-1614.0,382,False,162,9,0.4926879930128759
6,-1613.0,382,False,167,3,0.49123901264959247
7,-1453.0,382,False,138,10,0.48979447399865256
8,-1517.0,382,False,148,11,0.4883543634444068
9,-1503.0,382,False,124,21,0.48691866741294326
10,-1634.0,382,False,162,2,0.4854873723719597
11,-1655.0,382,False,162,7,0.4840604648306357
12,-1575.0,382,False,142,22,0.48263793133950583
13,-1383.0,382,False,119,18,0.4812197584903327
14,-1514.0,382,False,125,27,0.4798059329159805
15,-1417.0,382,False,135,7,0.4783964412902893
16,-1420.0,382,False,133,9,0.4769912703279489
17,-1843.0,382,False,202,2,0.4755904067843744
18,-1458.0,382,False,142,6,0.4741938374555807
19,-1302.0,382,False,99,24,0.4728015491780581
20,-1253.0,382,False,104,16,0.47141352882864884
21,-1480.0,382,False,127,21,0.4700297633244225
22,-1395.0,382,False,142,0,0.4686502396225535
23,-1271.0,382,False,112,11,0.46727494472019754
24,-1560.0,382,False,133,20,0.4659038656543695
25,-1327.0,382,False,95,27,0.4645369895018209
26,-1232.0,382,False,115,3,0.4631743033789184
27,-1394.0,382,False,142,0,0.46181579444152226
28,-1071.0,382,False,83,10,0.460461449884865
29,-1270.0,382,False,98,22,0.4591112569434312
30,-1046.0,382,False,69,19,0.45776520289083666
31,-1121.0,382,False,74,23,0.4564232750397091
32,-1530.0,382,False,142,4,0.4550854607415677
33,-1136.0,382,False,90,13,0.4537517473867047
34,-1206.0,382,False,114,3,0.45242212240406615
35,-1148.0,382,False,88,16,0.4510965732611334
36,-1060.0,382,False,58,32,0.44977508746380507
37,-1123.0,382,False,91,12,0.4484576525562793
38,-1200.0,382,False,102,12,0.4471442561209363
39,-963.0,382,False,58,19,0.4458348857782212
40,-1443.0,382,False,143,5,0.4445295291865278
41,-1093.0,382,False,87,13,0.4432281740420817
42,-1088.0,382,False,70,25,0.4419308080788245
43,-1010.0,382,False,64,22,0.44063741906829834
44,-1303.0,382,False,125,6,0.4393479948195306
45,-1130.0,382,False,104,1,0.43806252317891875
46,-1061.0,382,False,82,12,0.43678099203011617
47,-1155.0,382,False,96,8,0.4355033892939177
48,-1134.0,382,False,86,17,0.4342297029281458
49,-1308.0,382,False,129,1,0.43295992092753705
50,-1343.0,382,False,129,4,0.43169403132362916
51,-1010.0,382,False,74,11,0.430432022184648
52,-1036.0,382,False,75,15,0.42917388161539505
53,-915.0,382,False,55,16,0.4279195977571355
54,-861.0,382,False,48,17,0.4266691587874863
55,-957.0,382,False,70,10,0.4254225529203049
56,-1022.0,382,False,77,11,0.424179768405578
57,-1098.0,382,False,87,11,0.4229407935293108
58,-1090.0,382,False,94,7,0.42170561661341666
59,-1214.0,382,False,102,11,0.42047422601560724
60,-1106.0,382,False,87,13,0.41924661012928205
61,-1174.0,382,False,90,20,0.4180227573834201
62,-963.0,382,False,67,12,0.41680265624246987
63,-1104.0,382,False,88,11,0.4155862952062411
64,-1203.0,382,False,104,11,0.4143736628097963
65,-1226.0,382,False,107,10,0.4131647476233427
66,-1107.0,382,False,87,14,0.4119595382521244
67,-772.0,382,False,53,5,0.410758023336315
68,-1064.0,382,False,79,14,0.4095601915509108
69,-1140.0,382,False,91,14,0.4083660316056235
70,-998.0,382,False,63,21,0.40717553224477443
71,-1084.0,382,False,90,8,0.40598868224718804
72,-954.0,382,False,55,20,0.404805470426086
73,-963.0,382,False,81,2,0.40362588562898233
74,-908.0,382,False,65,10,0.40244991673757774
75,-1084.0,382,False,93,5,0.40127755266765514
76,-1632.0,382,False,163,1,0.40010878236897496
77,-1279.0,382,False,105,17,0.39894359482517117
78,-972.0,382,False,57,20,0.39778197905364737
79,-1171.0,382,False,98,11,0.39662392410547315
80,-1017.0,382,False,84,4,0.39546941906528127
81,-909.0,382,False,68,6,0.3943184530511642
82,-1200.0,382,False,102,11,0.3931710152145721
83,-1097.0,382,False,97,2,0.3920270947402102
84,-1212.0,382,False,97,18,0.39088668084593714
85,-1024.0,382,False,75,13,0.389749762782663
86,-1192.0,382,False,101,10,0.38861632983424843
87,-1145.0,382,False,59,37,0.38748637131740304
88,-1456.0,382,False,145,4,0.3863598765815855
89,-963.0,382,False,68,10,0.3852368350089022
90,-1046.0,382,False,87,3,0.3841172360140082
91,-872.0,382,False,54,14,0.3830010690440066
92,-956.0,382,False,57,19,0.38188832357834945
93,-1113.0,382,False,90,12,0.38077898912873864
94,-1123.0,382,False,94,9,0.3796730552390269
95,-995.0,382,False,76,10,0.37857051148511917
96,-871.0,382,False,60,10,0.37747134747487476
97,-1286.0,382,False,109,16,0.37637555284800883
98,-1090.0,382,False,80,19,0.3752831172759951
99,-1338.0,382,False,124,11,0.3741940304619685
100,-745.0,382,False,41,11,0.37310828214062786
101,-907.0,382,False,54,15,0.3720258620781394
102,-931.0,382,False,56,18,0.3709467600720404
103,-1117.0,382,False,70,28,0.36987096595114244
104,-1138.0,382,False,85,19,0.3687984695754361
105,-1325.0,382,False,87,39,0.3677292608359953
106,-1498.0,382,False,139,17,0.3666633296548817
107,-1006.0,382,False,71,16,0.36560066598505014
108,-966.0,382,False,62,15,0.36454125981025365
109,-927.0,382,False,66,10,0.3634851011449491
