episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-912.0,382,False,60,13,0.5
1,-1119.0,382,False,107,1,0.4985286053704413
2,-1360.0,382,False,124,9,0.49706172116204067
3,-1142.0,382,False,90,17,0.4955993335485285
4,-1078.0,382,False,84,14,0.494141428746018
5,-1050.0,382,False,81,11,0.4926879930128759
6,-1094.0,382,False,96,5,0.49123901264959247
7,-1109.0,382,False,83,17,0.48979447399865256
8,-1114.0,382,False,65,34,0.4883543634444068
9,-1052.0,382,False,77,9,0.48691866741294326
10,-1230.0,382,False,113,9,0.4854873723719597
11,-1060.0,382,False,79,13,0.4840604648306357
12,-1056.0,382,False,88,8,0.48263793133950583
13,-1195.0,382,False,108,5,0.4812197584903327
14,-1024.0,382,False,74,17,0.4798059329159805
15,-967.0,382,False,63,15,0.4783964412902893
16,-1029.0,382,False,83,6,0.4769912703279489
17,-1222.0,382,False,104,14,0.4755904067843744
18,-1019.0,382,False,71,21,0.4741938374555807
19,-852.0,382,False,55,10,0.4728015491780581
20,-1117.0,382,False,76,24,0.47141352882864884
21,-888.0,382,False,46,22,0.4700297633244225
22,-1048.0,382,False,76,16,0.4686502396225535
23,-874.0,382,False,42,26,0.46727494472019754
24,-1061.0,382,False,85,8,0.4659038656543695
25,-930.0,382,False,44,20,0.4645369895018209
26,-1019.0,382,False,90,2,0.4631743033789184
27,-1130.0,382,False,87,15,0.46181579444152226
28,-979.0,382,False,75,9,0.460461449884865
29,-884.0,382,False,68,5,0.4591112569434312
30,-861.0,382,False,60,7,0.45776520289083666
31,-949.0,382,False,55,20,0.4564232750397091
32,-1163.0,382,False,93,14,0.4550854607415677
33,-860.0,382,False,45,20,0.4537517473867047
34,-885.0,382,False,63,10,0.45242212240406615
35,-1110.0,382,False,92,9,0.4510965732611334
36,-881.0,382,False,48,23,0.44977508746380507
37,-512.0,322,True,57,14,0.4484576525562793
38,-1072.0,382,False,88,9,0.4471442561209363
39,-1026.0,382,False,75,15,0.4458348857782212
40,-859.0,382,False,51,18,0.4445295291865278
41,-478.0,356,True,61,3,0.4432281740420817
42,-875.0,382,False,65,6,0.4419308080788245
43,-706.0,382,False,29,16,0.44063741906829834
44,-1018.0,382,False,78,10,0.4393479948195306
45,-1059.0,382,False,76,15,0.43806252317891875
46,-915.0,382,False,60,16,0.43678099203011617
47,-473.0,335,True,56,9,0.4355033892939177
48,-916.0,382,False,59,19,0.4342297029281458
49,-1129.0,382,False,94,12,0.43295992092753705
50,-911.0,382,False,55,19,0.43169403132362916
51,-806.0,382,False,44,15,0.430432022184648
52,-954.0,382,False,55,24,0.42917388161539505
53,-1003.0,382,False,73,11,0.4279195977571355
54,-756.0,382,False,39,13,0.4266691587874863
55,-856.0,382,False,49,16,0.4254225529203049
56,-974.0,382,False,70,14,0.424179768405578
57,-1044.0,382,False,80,12,0.4229407935293108
58,-840.0,382,False,39,25,0.42170561661341666
59,-211.0,280,True,23,12,0.42047422601560724
60,-926.0,382,False,64,8,0.41924661012928205
61,-1024.0,382,False,77,11,0.4180227573834201
62,-858.0,382,False,55,13,0.41680265624246987
63,-928.0,382,False,66,13,0.4155862952062411
64,-294.0,249,True,34,15,0.4143736628097963
65,-1033.0,382,False,65,25,0.4131647476233427
66,-428.0,308,True,47,15,0.4119595382521244
67,-194.0,247,True,32,6,0.410758023336315
68,-896.0,382,False,54,17,0.4095601915509108
69,-269.0,245,True,34,14,0.4083660316056235
70,-973.0,382,False,76,8,0.40717553224477443
71,-853.0,382,False,59,9,0.40598868224718804
72,-979.0,382,False,78,6,0.404805470426086
73,-761.0,382,False,46,9,0.40362588562898233
74,-312.0,319,True,36,9,0.40244991673757774
75,-1003.0,382,False,70,18,0.40127755266765514
76,-861.0,382,False,64,7,0.40010878236897496
77,-1018.0,382,False,66,22,0.39894359482517117
78,-835.0,382,False,58,10,0.39778197905364737
79,-106.0,216,True,25,5,0.39662392410547315
80,-805.0,382,False,46,12,0.39546941906528127
81,-121.0,207,True,24,8,0.3943184530511642
82,-334.0,294,True,43,10,0.3931710152145721
83,-147.0,240,True,25,6,0.3920270947402102
84,-933.0,382,False,77,3,0.39088668084593714
85,-282.0,231,True,42,10,0.389749762782663
86,-818.0,382,False,49,13,0.38861632983424843
87,-1085.0,382,False,77,22,0.38748637131740304
88,-404.0,320,True,35,21,0.3863598765815855
89,-227.0,239,True,34,9,0.3852368350089022
90,57.0,147,True,10,5,0.3841172360140082
91,-1212.0,382,False,105,11,0.3830010690440066
92,-739.0,382,False,46,6,0.38188832357834945
93,-41.0,122,True,23,7,0.38077898912873864
94,-183.0,236,True,13,21,0.3796730552390269
95,-898.0,382,False,61,12,0.37857051148511917
96,-865.0,382,False,50,19,0.37747134747487476
97,-729.0,382,False,35,14,0.37637555284800883
98,-616.0,350,True,65,16,0.3752831172759951
99,-970.0,382,False,64,19,0.3741940304619685
100,-920.0,382,False,46,27,0.37310828214062786
101,-316.0,220,True,53,6,0.3720258620781394
102,-961.0,382,False,66,15,0.3709467600720404
103,-878.0,382,False,52,19,0.36987096595114244
104,-319.0,246,True,31,21,0.3687984695754361
105,-972.0,382,False,65,16,0.3677292608359953
106,-456.0,377,True,40,15,0.3666633296548817
107,-191.0,234,True,23,15,0.36560066598505014
108,-423.0,297,True,48,14,0.36454125981025365
109,-579.0,355,True,60,17,0.3634851011449491
110,-498.0,307,True,44,24,0.36243218003420297
111,-746.0,382,False,45,8,0.36138248655359795
112,-323.0,320,True,35,11,0.36033601080913885
113,-604.0,357,True,76,5,0.3592927429371596
114,-595.0,369,True,62,14,0.35825267310423053
115,-1155.0,382,False,101,8,0.35721579150706506
116,-658.0,382,False,28,13,0.35618208837242776
117,-371.0,334,True,31,18,0.3551515539570423
118,-342.0,207,True,42,18,0.3541241785474992
119,-244.0,274,True,37,4,0.35309995246016485
120,-808.0,382,False,37,21,0.3520788660410895
121,-370.0,271,True,44,14,0.351060909665917
122,34.0,170,True,13,2,0.3500460737397936
123,-10.0,188,True,13,7,0.34903434869727756
124,-144.0,200,True,33,5,0.3480257250022494
125,-1044.0,382,False,89,7,0.3470201931478214
126,-389.0,284,True,47,11,0.3460177436562486
127,-366.0,271,True,36,19,0.3450183670788389
128,-165.0,205,True,24,14,0.34402205399586444
129,-312.0,280,True,35,15,0.34302879501647254
130,-306.0,277,True,24,23,0.3420385807785974
131,-122.0,225,True,20,10,0.3410514019488717
132,-1033.0,382,False,75,17,0.3400672492225386
133,-166.0,239,True,24,12,0.3390861133233643
134,-959.0,382,False,76,7,0.3381079850035502
135,-289.0,352,True,33,5,0.3371328550436461
136,-385.0,333,True,46,7,0.3361607142524631
137,-947.0,382,False,64,17,0.33519155346698704
138,-858.0,382,False,48,20,0.33422536355229204
139,-146.0,241,True,28,5,0.33326213540145455
140,-143.0,190,True,29,7,0.33230185993546746
141,-118.0,206,True,25,7,0.33134452810315446
142,-808.0,382,False,49,12,0.3303901308810847
143,-125.0,187,True,26,8,0.3294386592734879
144,-370.0,327,True,38,14,0.32849010431216946
145,-600.0,376,True,67,11,0.3275444570564259
146,-287.0,298,True,33,11,0.32660170859296045
147,-886.0,382,False,68,6,0.3256618500357996
148,2.0,167,True,16,5,0.3247248725262087
149,-199.0,247,True,24,13,0.3237907672326086
150,-810.0,382,False,36,21,0.3228595253504928
151,-142.0,224,True,27,8,0.32193113810234397
152,-1025.0,382,False,80,12,0.3210055967375516
153,-130.0,199,True,26,8,0.32008289253232924
154,-1259.0,382,False,120,3,0.31916301678963227
155,9.0,146,True,17,6,0.31824596083907636
156,-362.0,323,True,40,12,0.3173317160368551
157,-841.0,382,False,57,8,0.31642027376565907
158,76.0,142,True,9,4,0.3155116254345942
159,-979.0,382,False,80,6,0.3146057624791012
160,-74.0,213,True,22,3,0.31370267636087457
161,-255.0,217,True,32,16,0.31280235856778205
162,-375.0,262,True,45,14,0.3119048006137846
163,-1011.0,382,False,75,14,0.31100999403885643
164,-756.0,382,False,43,10,0.310117930408905
165,-926.0,382,False,67,12,0.30922860131569174
166,-158.0,205,True,22,13,0.3083419983767528
167,-957.0,382,False,75,8,0.3074581132353199
168,-341.0,314,True,39,11,0.3065769375602417
169,-276.0,215,True,44,8,0.3056984630459052
170,-159.0,240,True,33,1,0.30482268141215746
171,-1029.0,382,False,87,6,0.30394958440422754
172,-202.0,179,True,38,9,0.30307916379264876
173,-833.0,382,False,49,15,0.3022114113731811
174,-14.0,133,True,24,3,0.3013463189667338
175,-72.0,182,True,23,5,0.3004838784192885
176,-326.0,249,True,46,9,0.2996240816018219
177,-152.0,223,True,24,11,0.29876692041022984
178,-488.0,340,True,47,17,0.29791238676525017
179,-166.0,252,True,23,9,0.2970604726123872
180,-850.0,382,False,52,14,0.2962111699218353
181,-614.0,382,False,26,10,0.2953644706884039
182,-1047.0,382,False,86,9,0.29452036693144096
183,-241.0,207,True,42,7,0.2936788506947588
184,-659.0,349,True,78,9,0.2928399140465587
185,-923.0,382,False,63,13,0.29200354907935583
186,37.0,133,True,16,4,0.29116974790990524
187,-692.0,363,True,76,14,0.29033850267912725
188,-857.0,382,False,52,16,0.2895098055520335
189,-116.0,232,True,25,3,0.2886836487176529
190,-172.0,195,True,28,12,0.2878600243889583
191,-53.0,198,True,19,5,0.28703892480279297
192,117.0,121,True,8,3,0.28622034221979714
193,-180.0,207,True,26,13,0.28540426892433574
194,-214.0,241,True,32,8,0.28459069722442487
195,-1459.0,382,False,136,4,0.2837796194516598
196,-84.0,229,True,14,11,0.2829710279611427
197,-50.0,166,True,29,0,0.2821649151314103
198,-509.0,346,True,55,12,0.28136127336436223
199,-535.0,374,True,59,10,0.28056009508518936
200,-525.0,308,True,75,2,0.27976137274230256
201,-136.0,227,True,26,6,0.27896509880726134
202,112.0,127,True,6,3,0.27817126577470264
203,-205.0,196,True,45,1,0.27737986616227084
204,-29.0,195,True,18,4,0.2765908925105464
205,-1201.0,382,False,118,2,0.2758043373829762
206,-1109.0,382,False,91,12,0.275020193365803
207,-843.0,382,False,59,7,0.27423845306799577
208,-1042.0,382,False,87,7,0.27345910912118004
209,-368.0,263,True,56,3,0.27268215417956826
210,-1072.0,382,False,85,12,0.27190758091989087
211,85.0,144,True,9,4,0.27113538204132703
212,-405.0,361,True,48,4,0.2703655502654358
213,-956.0,382,False,77,4,0.2695980783360877
214,-304.0,288,True,41,6,0.26883295901939624
215,-401.0,351,True,48,6,0.26807018510364966
216,-96.0,186,True,25,6,0.2673097493992431
217,-167.0,182,True,37,5,0.2665516447386107
218,-65.0,195,True,10,15,0.26579586397615806
219,-67.0,184,True,25,4,0.265042399988195
220,-331.0,223,True,52,7,0.2642912456728683
221,-938.0,382,False,71,10,0.2635423939500949
222,7.0,179,True,16,3,0.2627958377614948
223,-298.0,216,True,45,10,0.262051570070325
224,-1133.0,382,False,101,6,0.26130958386141306
225,-361.0,249,True,54,6,0.26056987214109073
226,-894.0,382,False,55,19,0.25983242793712813
227,-459.0,250,True,63,9,0.2590972442986683
228,-515.0,334,True,55,15,0.2583643142961613
229,-99.0,152,True,31,5,0.2576336310212992
230,-1015.0,382,False,76,14,0.2569051875869507
231,-374.0,274,True,55,5,0.2561789771270964
232,102.0,126,True,9,4,0.2554549927967642
233,-434.0,307,True,58,7,0.2547332277719643
234,-136.0,187,True,30,7,0.2540136752496255
235,-300.0,284,True,33,13,0.2532963284475304
236,-756.0,382,False,56,1,0.25258118060425244
237,-159.0,175,True,40,2,0.2518682249790909
238,-921.0,382,False,62,12,0.2511574548520085
239,-801.0,338,True,97,12,0.25044886352356743
240,-59.0,181,True,22,6,0.2497424443148664
241,-185.0,216,True,37,3,0.2490381905674777
242,-53.0,167,True,16,12,0.24833609564338427
243,-890.0,382,False,67,6,0.24763615292491745
244,-298.0,232,True,37,14,0.24693835581469423
245,-1033.0,382,False,81,12,0.24624269773555543
246,-790.0,382,False,52,8,0.2455491721305034
247,-918.0,382,False,73,3,0.2448577724626404
248,-968.0,382,False,83,2,0.24416849221510695
249,-714.0,382,False,36,12,0.24348132489102028
250,-954.0,382,False,79,4,0.2427962640134134
251,-219.0,177,True,36,12,0.24211330312517365
252,62.0,129,True,8,8,0.2414324357889821
253,-53.0,157,True,28,1,0.24075365558725292
254,-77.0,169,True,22,7,0.24007695612207264
255,-1142.0,382,False,100,7,0.23940233101514002
256,-211.0,171,True,44,6,0.23872977390770597
257,-30.0,157,True,22,5,0.23805927846051347
258,-976.0,382,False,82,4,0.23739083835373795
259,-460.0,296,True,63,5,0.23672444728692763
260,-480.0,288,True,71,2,0.23606009897894417
261,-242.0,224,True,41,6,0.23539778716790344
262,15.0,168,True,13,6,0.23473750561111661
263,73.0,131,True,14,2,0.2340792480850311
264,-39.0,203,True,18,4,0.23342300838517216
265,-519.0,285,True,60,15,0.23276878032608425
266,77.0,143,True,12,1,0.23211655774127266
267,-1126.0,382,False,105,2,0.2314663344831456
268,-301.0,252,True,47,5,0.23081810442295608
269,-109.0,157,True,24,11,0.23017186145074423
270,134.0,97,True,8,3,0.22952759947527965
271,-997.0,382,False,84,4,0.22888531242400412
272,-118.0,172,True,31,4,0.22824499424297418
273,-56.0,167,True,18,9,0.2276066388968042
274,-191.0,189,True,42,2,0.2269702403686094
275,-202.0,211,True,40,3,0.2263357926599493
276,-457.0,279,True,68,2,0.22570328979077098
277,-107.0,211,True,26,4,0.22507272579935286
278,-2068.0,382,False,233,6,0.22444409474224838
279,101.0,108,True,13,2,0.2238173906942302
280,78.0,109,True,14,3,0.22319260774823402
281,56.0,136,True,9,7,0.22256974001530322
282,-506.0,338,True,63,5,0.22194878162453316
283,-66.0,134,True,29,4,0.22132972672301593
284,-225.0,181,True,40,9,0.22071256947578516
285,-1158.0,382,False,83,13,0.22009730406576097
286,17.0,139,True,8,12,0.2194839246936953
287,-160.0,178,True,37,4,0.21887242557811695
288,-380.0,282,True,49,9,0.21826280095527748
289,-479.0,376,True,41,18,0.2176550450790965
290,-341.0,274,True,47,7,0.2170491522211078
291,103.0,95,True,12,4,0.21644511667040522
292,110.0,100,True,9,5,0.21584293273358882
293,31.0,130,True,17,4,0.21524259473471127
294,-159.0,225,True,32,3,0.21464409701522424
295,-99.0,158,True,31,5,0.21404743393392525
296,46.0,143,True,12,5,0.21345259986690437
297,-34.0,200,True,13,7,0.21285958920749118
298,70.0,116,True,13,5,0.212268396366202
299,-292.0,188,True,55,5,0.2116790157706872
300,-118.0,158,True,29,8,0.2110914418656787
301,-495.0,290,True,69,5,0.21050566911293747
302,-128.0,181,True,32,5,0.20992169199120148
303,-47.0,144,True,23,7,0.20933950499613366
304,41.0,105,True,20,3,0.20875910264026987
305,-367.0,340,True,47,5,0.2081804794529673
306,100.0,120,True,13,0,0.20760362998035298
307,41.0,201,True,10,1,0.2070285487852721
308,-78.0,131,True,34,2,0.2064552304472371
309,-404.0,322,True,53,4,0.20588366956237625
310,-768.0,382,False,52,5,0.20531386074338304
311,-80.0,150,True,29,5,0.2047457986194651
312,-340.0,234,True,51,7,0.2041794778362938
313,-128.0,173,True,32,5,0.2036148930559537
314,-151.0,195,True,34,4,0.2030520389568922
315,-369.0,276,True,51,7,0.2024909102338694
316,-750.0,382,False,49,6,0.20193150159790813
317,-611.0,382,False,27,6,0.20137380777624414
318,-198.0,162,True,33,13,0.20081782351227626
319,-66.0,171,True,20,9,0.20026354356551698
320,-369.0,271,True,48,8,0.19971096271154293
321,-112.0,157,True,30,6,0.19916007574194589
322,-204.0,252,True,29,8,0.1986108774642833
323,-127.0,158,True,37,2,0.19806336270202973
324,-192.0,239,True,26,11,0.1975175262945278
325,-350.0,225,True,58,4,0.1969733630969396
326,-27.0,154,True,21,6,0.19643086798019843
327,6.0,183,True,14,3,0.19589003583095999
328,-288.0,172,True,49,9,0.19535086155155462
329,-116.0,152,True,31,7,0.19481334005993908
330,-673.0,361,True,78,9,0.19427746628964865
331,-210.0,213,True,36,7,0.1937432351897493
332,-15.0,205,True,16,2,0.19321064172479022
333,-133.0,187,True,30,6,0.1926796808747563
334,-171.0,195,True,36,5,0.1921503476350208
335,62.0,97,True,18,4,0.19162263701629825
336,-1059.0,382,False,92,6,0.19109654404459725
337,-272.0,244,True,33,14,0.19057206376117375
338,-530.0,338,True,63,8,0.19004919122248426
339,66.0,112,True,15,4,0.18952792150013936
340,-95.0,147,True,30,5,0.18900824968085694
341,-322.0,267,True,50,3,0.18849017086641626
342,128.0,126,True,9,0,0.1879736801736115
343,-670.0,335,True,84,9,0.18745877273420591
344,-358.0,251,True,52,6,0.18694544369488594
345,-390.0,267,True,58,3,0.1864336882172152
346,55.0,105,True,16,5,0.1859235014775892
347,-72.0,163,True,26,5,0.18541487866718984
348,-28.0,150,True,21,5,0.1849078149919398
349,-52.0,144,True,29,2,0.18440230567245774
350,-487.0,343,True,54,11,0.1838983459440129
351,55.0,96,True,21,2,0.18339593105648044
352,-947.0,382,False,74,6,0.18289505627429656
353,-63.0,224,True,17,5,0.1823957168764139
354,1.0,118,True,21,6,0.1818979081562571
355,-151.0,169,True,40,1,0.1814016254216781
356,-63.0,131,True,22,10,0.18090686399491243
357,-403.0,254,True,55,9,0.18041361921253485
358,-248.0,216,True,45,3,0.17992188642541526
359,19.0,154,True,11,8,0.17943166099867516
360,-95.0,168,True,25,9,0.17894293831164373
361,-790.0,382,False,52,8,0.1784557137578145
362,-115.0,207,True,26,6,0.1779699827448017
363,-2.0,160,True,19,3,0.17748574069429715
364,-157.0,157,True,26,14,0.177002983042027
365,-370.0,349,True,44,4,0.17652170523770877
366,-58.0,157,True,28,2,0.1760419027450085
367,60.0,140,True,17,0,0.1755635710414978
368,-105.0,179,True,32,2,0.1750867056186115
369,139.0,100,True,9,1,0.17461130198160488
370,-203.0,171,True,42,6,0.17413735564951152
371,-154.0,160,True,37,6,0.1736648621551009
372,-7.0,121,True,26,2,0.17319381704483655
373,-111.0,181,True,32,3,0.1727242158788337
374,-152.0,308,True,23,3,0.1722560542308177
375,-74.0,150,True,23,10,0.17178932768808222
376,-52.0,150,True,21,8,0.17132403185144768
377,-106.0,185,True,30,3,0.1708601623352198
378,141.0,99,True,4,6,0.17039771476714813
379,-243.0,230,True,37,8,0.16993668478838503
380,26.0,156,True,21,0,0.16947706805344445
381,-202.0,177,True,40,6,0.16901886023016108
382,-214.0,206,True,37,7,0.16856205699964938
383,110.0,122,True,9,2,0.16810665405626296
384,12.0,140,True,19,4,0.167652647107554
385,-34.0,169,True,24,2,0.16720003187423277
386,-109.0,152,True,35,3,0.1667488040901273
387,-74.0,154,True,25,7,0.1662989595021432
388,-473.0,323,True,48,15,0.16585049387022344
389,176.0,73,True,4,4,0.16540340296730857
390,-51.0,157,True,26,3,0.16495768257929677
391,-403.0,262,True,55,8,0.16451332850500414
392,-27.0,144,True,21,6,0.16407033655612516
393,-88.0,184,True,27,3,0.16362870255719308
394,-174.0,219,True,32,5,0.16318842234554068
395,-212.0,152,True,37,12,0.16274949177126108
396,-733.0,335,True,88,12,0.16231190669716847
397,-835.0,382,False,59,7,0.1618756629987591
398,97.0,95,True,10,6,0.16144075656417275
399,-7.0,150,True,21,2,0.16100718329415348
400,-756.0,382,False,45,6,0.16057493910201134
401,-46.0,152,True,25,5,0.16014401991358376
402,126.0,105,True,12,0,0.15971442166719707
403,-891.0,382,False,65,8,0.15928614031362825
404,104.0,105,True,14,0,0.15885917181606696
405,87.0,118,True,15,0,0.1584335121500771
406,37.0,105,True,20,3,0.15800915730355922
407,7.0,144,True,19,3,0.1575861032767126
408,-17.0,112,True,27,3,0.15716434608199745
409,-53.0,165,True,24,4,0.15674388174409748
410,-5.0,140,True,25,0,0.15632470629988232
411,101.0,87,True,12,5,0.15590681579837024
412,93.0,102,True,15,2,0.15549020630069071
413,-643.0,360,True,67,15,0.15507487388004773
414,-352.0,244,True,55,5,0.15466081462168224
415,-305.0,221,True,54,3,0.1542480246228357
416,-80.0,152,True,25,8,0.15383649999271298
417,-80.0,148,True,33,2,0.15342623685244586
418,-41.0,157,True,24,4,0.15301723133505643
419,-255.0,251,True,36,8,0.15260947958542068
420,-87.0,152,True,29,5,0.15220297776023203
421,191.0,80,True,3,3,0.15179772202796518
422,-355.0,246,True,53,7,0.15139370856884013
423,-107.0,144,True,33,5,0.15099093357478596
424,52.0,152,True,11,4,0.15058939324940507
425,-62.0,152,True,27,4,0.15018908380793738
426,-90.0,165,True,30,3,0.14979000147722452
427,3.0,120,True,17,9,0.14939214249567448
428,-129.0,158,True,33,6,0.1489955031132261
429,47.0,140,True,15,3,0.14860007959131352
430,-51.0,138,True,29,2,0.14820586820283127
431,-673.0,328,True,81,12,0.14781286523209886
432,-4.0,96,True,25,5,0.1474210669748259
433,-61.0,157,True,24,6,0.14703046973807712
434,-402.0,276,True,59,3,0.1466410698402377
435,76.0,144,True,13,1,0.14625286361097833
436,-1043.0,382,False,88,7,0.14586584739122083
437,-91.0,148,True,33,3,0.14548001753310352
438,-18.0,140,True,23,3,0.145095370399947
439,139.0,99,True,8,3,0.14471190236621964
440,-77.0,196,True,25,4,0.14432960981750356
441,8.0,157,True,16,4,0.14394848915046063
442,-153.0,160,True,35,7,0.14356853677279832
443,116.0,99,True,10,4,0.14318974910323598
444,8.0,133,True,18,6,0.14281212257147102
445,-52.0,152,True,25,4,0.14243565361814525
446,-872.0,382,False,58,12,0.14206033869481138
447,-22.0,131,True,26,2,0.14168617426389957
448,13.0,150,True,19,3,0.14131315679868406
449,-46.0,155,True,24,4,0.1409412827832499
450,-53.0,152,True,27,3,0.14057054871245986
451,-166.0,160,True,41,4,0.1402009510919214
452,48.0,171,True,14,1,0.13983248643795368
