episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-129.0,183,True,36,1,0.5
1,114.0,85,True,14,1,0.4985286053704413
2,139.0,77,True,12,1,0.49706172116204067
3,161.0,84,True,9,0,0.4955993335485285
4,87.0,108,True,15,1,0.494141428746018
5,-5.0,124,True,23,3,0.4926879930128759
6,111.0,74,True,15,2,0.49123901264959247
7,-16.0,165,True,22,2,0.48979447399865256
8,131.0,93,True,12,1,0.4883543634444068
9,111.0,118,True,9,2,0.48691866741294326
10,-302.0,258,True,43,7,0.4854873723719597
11,107.0,92,True,13,2,0.4840604648306357
12,-197.0,225,True,34,5,0.48263793133950583
13,0.0,123,True,24,2,0.4812197584903327
14,-5.0,152,True,21,2,0.4798059329159805
15,-183.0,189,True,38,5,0.4783964412902893
16,70.0,94,True,17,3,0.4769912703279489
17,46.0,118,True,21,0,0.4755904067843744
18,27.0,126,True,21,1,0.4741938374555807
19,82.0,124,True,11,3,0.4728015491780581
20,72.0,120,True,17,0,0.47141352882864884
21,-92.0,180,True,31,2,0.4700297633244225
22,27.0,130,True,17,5,0.4686502396225535
23,-217.0,222,True,39,5,0.46727494472019754
24,78.0,132,True,13,1,0.4659038656543695
25,200.0,69,True,6,0,0.4645369895018209
26,-28.0,229,True,14,3,0.4631743033789184
27,-40.0,159,True,26,2,0.46181579444152226
28,138.0,90,True,9,2,0.460461449884865
29,132.0,96,True,9,2,0.4591112569434312
30,-7.0,142,True,21,4,0.45776520289083666
31,-19.0,161,True,22,2,0.4564232750397091
32,177.0,74,True,7,1,0.4550854607415677
33,100.0,94,True,15,1,0.4537517473867047
34,84.0,87,True,18,1,0.45242212240406615
35,98.0,106,True,15,0,0.4510965732611334
36,82.0,110,True,13,3,0.44977508746380507
37,166.0,57,True,8,3,0.4484576525562793
38,160.0,79,True,8,2,0.4471442561209363
39,93.0,87,True,16,2,0.4458348857782212
40,176.0,75,True,6,2,0.4445295291865278
41,111.0,92,True,15,0,0.4432281740420817
42,122.0,98,True,9,3,0.4419308080788245
43,5.0,160,True,17,3,0.44063741906829834
44,-25.0,187,True,18,4,0.4393479948195306
