episode,reward,steps,success,wall_collisions,penalty_entries,epsilon
0,-1929.0,382,False,186,21,0.5
1,-1901.0,382,False,190,11,0.4985286053704413
2,-1638.0,382,False,162,3,0.49706172116204067
3,-1644.0,382,False,138,28,0.4955993335485285
4,-1626.0,382,False,132,30,0.494141428746018
5,-1643.0,382,False,157,10,0.4926879930128759
6,-1447.0,382,False,127,12,0.49123901264959247
7,-1609.0,382,False,142,19,0.48979447399865256
8,-1353.0,382,False,112,12,0.4883543634444068
9,-1309.0,382,False,102,18,0.48691866741294326
10,-1415.0,382,False,133,1,0.4854873723719597
11,-1464.0,382,False,129,12,0.4840604648306357
12,-1375.0,382,False,114,15,0.48263793133950583
13,-1250.0,382,False,94,18,0.4812197584903327
14,-1249.0,382,False,90,21,0.4798059329159805
15,-1205.0,382,False,85,19,0.4783964412902893
16,-1570.0,382,False,148,8,0.4769912703279489
17,-1713.0,382,False,172,3,0.4755904067843744
18,-1406.0,382,False,126,6,0.4741938374555807
19,-1067.0,382,False,66,19,0.4728015491780581
20,-1286.0,382,False,99,17,0.47141352882864884
21,-1192.0,382,False,75,26,0.4700297633244225
22,-1413.0,382,False,128,6,0.4686502396225535
23,-1241.0,382,False,94,16,0.46727494472019754
24,-1260.0,382,False,104,8,0.4659038656543695
25,-1112.0,382,False,84,8,0.4645369895018209
26,-1184.0,382,False,102,1,0.4631743033789184
27,-1451.0,382,False,134,4,0.46181579444152226
28,-1263.0,382,False,108,5,0.460461449884865
29,-1131.0,382,False,77,19,0.4591112569434312
30,-888.0,382,False,50,12,0.45776520289083666
31,-884.0,382,False,51,11,0.4564232750397091
32,-1281.0,382,False,113,4,0.4550854607415677
33,-1171.0,382,False,90,11,0.4537517473867047
34,-977.0,382,False,54,19,0.45242212240406615
35,-959.0,382,False,56,14,0.4510965732611334
36,-1160.0,382,False,79,19,0.44977508746380507
37,-1141.0,382,False,91,6,0.4484576525562793
38,-849.0,382,False,53,7,0.4471442561209363
39,-833.0,382,False,43,10,0.4458348857782212
40,-1283.0,382,False,109,6,0.4445295291865278
41,-1062.0,382,False,84,1,0.4432281740420817
42,-1018.0,382,False,67,14,0.4419308080788245
43,-1034.0,382,False,72,10,0.44063741906829834
44,-1278.0,382,False,102,12,0.4393479948195306
45,-948.0,382,False,57,13,0.43806252317891875
46,-1021.0,382,False,67,13,0.43678099203011617
47,-1208.0,382,False,101,5,0.4355033892939177
48,-1072.0,382,False,79,6,0.4342297029281458
49,-1722.0,382,False,172,8,0.43295992092753705
50,-1255.0,382,False,102,10,0.43169403132362916
51,-956.0,382,False,43,26,0.430432022184648
52,-1172.0,382,False,81,16,0.42917388161539505
53,-947.0,382,False,52,17,0.4279195977571355
54,-1084.0,382,False,76,12,0.4266691587874863
55,-1111.0,382,False,86,7,0.4254225529203049
56,-908.0,382,False,60,7,0.424179768405578
57,-1274.0,382,False,112,4,0.4229407935293108
58,-1061.0,382,False,67,18,0.42170561661341666
59,-1011.0,382,False,74,6,0.42047422601560724
60,-1380.0,382,False,112,17,0.41924661012928205
61,-1427.0,382,False,126,9,0.4180227573834201
62,-930.0,382,False,63,7,0.41680265624246987
63,-1715.0,382,False,165,21,0.4155862952062411
64,-1271.0,382,False,112,5,0.4143736628097963
65,-1290.0,382,False,112,3,0.4131647476233427
66,-1346.0,382,False,109,17,0.4119595382521244
67,-1078.0,382,False,78,12,0.410758023336315
68,-1043.0,382,False,64,19,0.4095601915509108
69,-1136.0,382,False,89,7,0.4083660316056235
70,-917.0,382,False,47,19,0.40717553224477443
71,-1040.0,382,False,66,19,0.40598868224718804
72,-1026.0,382,False,73,10,0.404805470426086
73,-1117.0,382,False,77,15,0.40362588562898233
74,-1033.0,382,False,59,22,0.40244991673757774
75,-1056.0,382,False,82,6,0.40127755266765514
76,-1317.0,382,False,113,7,0.40010878236897496
77,-1185.0,382,False,90,14,0.39894359482517117
78,-976.0,382,False,66,12,0.39778197905364737
79,-1133.0,382,False,87,7,0.39662392410547315
80,-1085.0,382,False,84,4,0.39546941906528127
81,-1048.0,382,False,76,11,0.3943184530511642
82,-1149.0,382,False,92,7,0.3931710152145721
83,-1351.0,382,False,124,1,0.3920270947402102
84,-987.0,382,False,57,18,0.39088668084593714
85,-1129.0,382,False,77,17,0.389749762782663
86,-1265.0,382,False,102,13,0.38861632983424843
87,-1151.0,382,False,96,7,0.38748637131740304
88,-1175.0,382,False,101,2,0.3863598765815855
89,-1287.0,382,False,107,9,0.3852368350089022
90,-1105.0,382,False,82,10,0.3841172360140082
