iteration,delta
1,159.7
2,129.366
3,114.83208000000005
4,93.95205620000007
5,82.19468094300007
6,71.57874654576008
7,59.69730998859927
8,53.150737780944894
9,45.083800779971455
10,40.162758539682585
11,35.67270747541052
12,31.619460520299228
13,27.957350854785318
14,24.767273547162972
15,21.979779537695947
16,19.759551997318155
17,17.72175863356344
18,15.800343283401375
19,14.112545389035262
20,12.519244272158872
21,11.192795581453481
22,10.028320519802577
23,8.940704758681761
24,7.970550825954454
25,7.050549246117413
26,6.319418375974735
27,5.532669144313061
28,4.971812421249169
29,4.367304511260215
30,3.920016273863922
31,3.4868437056551542
32,3.107134365153655
33,2.7897014206365327
34,2.480961095722435
35,2.2309420784919425
36,1.9951393592748374
37,1.79077614572153
38,1.6083173054223252
39,1.4400761926127714
40,1.2946648086697152
41,1.1610333194845524
42,1.0430320006115963
43,0.9386325611841002
44,0.844107266744917
45,0.7578101121292988
46,0.6818346739164269
47,0.6118605891949542
48,0.5506383560350905
49,0.4944331864092675
50,0.4448728014911296
51,0.39976347500210707
52,0.3596275875845407
53,0.32332507364364815
54,0.29093931238648096
55,0.26176847942580395
56,0.2355440400046227
57,0.21196462721390574
58,0.19076400304167151
59,0.17167056016334925
60,0.1544631914143011
61,0.13899327005094264
62,0.12507993517924731
63,0.11252283179619127
64,0.10126634165240134
65,0.09109787705137862
66,0.08198721777933571
67,0.07376280706546368
68,0.06638373088693683
69,0.05973139033048014
70,0.05375473592062008
71,0.0483716434907393
72,0.043531794374676025
73,0.039174448441237075
74,0.03525524733807117
75,0.03172743968825387
76,0.02855362751563817
77,0.0256970121604283
78,0.023126686598022417
79,0.02081332998256613
80,0.018731640493573565
81,0.016858098354109785
82,0.015172087836340609
83,0.013654671168236376
84,0.012289092063344498
85,0.011060068523338629
86,0.00995399951531084
87,0.008958536670117923
88,0.008062648620938972
89,0.007256349157678699
90,0.006530695262263464
91,0.005877606698685867
92,0.005289835564955325
93,0.004760841533752114
94,0.004284751615895033
95,0.0038562706907541155
96,0.003470640447527984
97,0.003123573231420096
98,0.002811214160974629
99,0.002530090999840695
100,0.002277080938153375
101,0.002049371884123019
102,0.001844434166450526
103,0.0016599902214480267
104,0.0014939909080453617
105,0.0013445915265108965
106,0.0012101322135862347
107,0.0010891188322510459
108,0.0009802068608273373
109,0.0008821860867165299
110,0.0007939674295194266
111,0.0007145706381308514
112,0.0006431135476141492
113,0.0005788021661956577
114,0.0005209219348927263
115,0.00046882972673145673
116,0.00042194674598050597
117,0.00037975206330642663
118,0.0003417768525331155
119,0.00030759916283429334
120,0.0002768392440941625
121,0.00024915531724545303
122,0.0002242397841776267
123,0.0002018158044201357
124,0.00018163422322814426
125,0.0001634708001674312
126,0.000147123719742126
127,0.0001324113473621935
128,0.00011917021239327141
129,0.00010725319093296548
130,9.652787171177124e-05
